Common_Name,Genus,Species,Variety,Subspecies,PLANTS_Code
"Micronesian cycad, fadang",Cycas,micronesica,NA,NA,CYMI8
remiang,Cycas,revoluta,NA,NA,CYRE11
ola,Cyclophyllum,barbatum,NA,NA,CYBA7
quince,Cydonia,oblonga,NA,NA,CYOB2
oreganillo falso,Cynometra,portoricensis,NA,NA,CYPO2
gulos,Cynometra,ramiflora,NA,NA,CYRA8
"eeme, aapwo",Cynometra,yokotae,NA,NA,CYYO
tree-tomato,Cyphomandra,betacea,NA,NA,CYBE3
swamp titi,Cyrilla,racemiflora,NA,NA,CYRA
forest cyrtandra,Cyrtandra,giffardii,NA,NA,CYGI3
Cyrtandra,Cyrtandra,ramosissima,NA,NA,CYRA3
candletree,Dacryodes,excelsa,NA,NA,DAEX
cocobolo,Dalbergia,retusa,NA,NA,DARE6
Indian rosewood,Dalbergia,sissoo,NA,NA,DASI
cocobolo,Dalbergia,tucurensis,NA,NA,DATU
burn nose,Daphnopsis,americana,NA,NA,DAAM2
Heller's cieneguillo,Daphnopsis,helleriana,NA,NA,DAHE2
emajagua de sierra,Daphnopsis,philippiana,NA,NA,DAPH
Hawaii delissea,Delissea,fallax,NA,NA,DEFA
cutleaf delissea,Delissea,laciniata,NA,NA,DELA4
Niihau delissea,Delissea,niihauensis,NA,NA,DENI
smallflower delissea,Delissea,parviflora,NA,NA,DEPA9
delissea,Delissea,sppNA,NA,NA,DELIS
leechleaf delissea,Delissea,undulata,NA,NA,DEUN2
royal poinciana,Delonix,regia,NA,NA,DERE
salato,Dendrocnide,harveyi,NA,NA,DEHA5
kahtat,Dendrocnide,latifolia,NA,NA,DELA13
angelica tree,Dendropanax,arboreus,NA,NA,DEAR
palo de vaca,Dendropanax,laurifolius,NA,NA,DELA3
redpalm,Dictyosperma,album,NA,NA,DIAL13
chulta,Dillenia,indica,NA,NA,DIIN6
shrubby dillenia,Dillenia,suffruticosa,NA,NA,DISU11
Dimocarpus longan,Dimocarpus,longan,NA,NA,DILO7
mabolo,Diospyros,blancoi,NA,NA,DIBL3
Mabolo,Diospyros,discolor,NA,NA,DIDI9
anume,Diospyros,elliptica,NA,NA,DIEL3
Diospyros ferrea,Diospyros,ferrea,NA,NA,DIFE5
elama,Diospyros,hillebrandii,NA,NA,DIHI4
persimmon,Diospyros,kaki,NA,NA,DIKA2
black apple,Diospyros,revoluta,NA,NA,DIRE6
auauli,Diospyros,samoensis,NA,NA,DISA16
lama,Diospyros,sandwicensis,NA,NA,DISA10
Chinese persimmon,Diospyros,sintenisii,NA,NA,DISI3
Texas persimmon,Diospyros,texana,NA,NA,DITE3
common persimmon,Diospyros,virginiana,NA,NA,DIVI5
otot,Discocalyx,ponapensis,NA,NA,DIPO
jaboncillo,Ditta,myricoides,NA,NA,DIMY
Florida hopbush,Dodonaea,viscosa,NA,NA,DOVI
rru,Dolichandrone,spathacea,NA,NA,DOSP3
Ceylon gooseberry,Dovyalis,hebecarpa,NA,NA,DOHE2
fragrant dracaena,Dracaena,fragrans,NA,NA,DRFR2
Dracaena multiflora,Dracaena,multiflora,NA,NA,DRMU2
song of India,Dracaena,reflexa,NA,NA,DRRE6
cafeillo,Drypetes,alba,NA,NA,DRAL5
Drypetes carolinensis,Drypetes,carolinensis,NA,NA,DRCA18
Drypetes dolichocarpa,Drypetes,dolichocarpa,NA,NA,DRDO3
varital,Drypetes,glauca,NA,NA,DRGL2
rosewood,Drypetes,ilicifolia,NA,NA,DRIL
guiana plum,Drypetes,lateriflora,NA,NA,DRLA3
kevert,Drypetes,nitida,NA,NA,DRNI3
NA,Drypetes,vitiensis,NA,NA,DRVI5
Drypetes yapensis,Drypetes,yapensis,NA,NA,DRYA
Mauna Kea dubautia,Dubautia,arborea,NA,NA,DUAR
Dubautia,Dubautia,demissifolia,NA,NA,DUDE
Dubautia,Dubautia,x fallax,NA,NA,DUFA2
forest dubautia,Dubautia,knudsenii,NA,NA,DUKN
Kauai dubautia,Dubautia,microcephala,NA,NA,DUMI
Dubautia,Dubautia,montana,NA,NA,DUMO2
plantainleaf dubautia,Dubautia,plantaginea,NA,NA,DUPL
netvein dubautia,Dubautia,reticulata,NA,NA,DURE2
dubautia,Dubautia,sppNA,NA,NA,DUBAU
golden dewdrops,Duranta,erecta,NA,NA,DUER
Durian,Durio,zibethinus,NA,NA,DUZI
yellow butterfly palm,Dypsis,lutescens,NA,NA,DYLU
maota mea,Dysoxylum,huntii,NA,NA,DYHU2
maota,Dysoxylum,maota,NA,NA,DYMA
Dysoxylum mollissimum sspNA Molle,Dysoxylum,mollissimum,NA,NA,DYMOM
mamala,Dysoxylum,samoense,NA,NA,DYSA
Blackbead ebony,Ebenopsis,ebano,NA,NA,EBEB
Anacua knockaway,Ehretia,anacua,NA,NA,EHAN
Russian-olive,Elaeagnus,angustifolia,NA,NA,ELAN
oil nut palm,Elaeis,guineensis,NA,NA,ELGU
kalia,Elaeocarpus,bifidus,NA,NA,ELBI
syatak,Elaeocarpus,carolinensis,NA,NA,ELCA20
`a`mati`e,Elaeocarpus,floridanus,NA,NA,ELFL6
Elaeocarpus graeffei,Elaeocarpus,graeffei,NA,NA,ELGR
sapatua,Elaeocarpus,grandis,NA,NA,ELGR6
joga,Elaeocarpus,joga,NA,NA,ELJO
Elaeocarpus kerstingianus,Elaeocarpus,kerstingianus,NA,NA,ELKE
Kosrae elaeocarpus,Elaeocarpus,kusaiensis,NA,NA,ELKU2
"maratte, opop",Elaeocarpus,kusanoi,NA,NA,ELKU
aamatie,Elaeocarpus,tonganus,NA,NA,ELTO4
Elaeocarpus,Elaeocarpus,ulianus,NA,NA,ELUL
taputoi,Elattostachys,falcata,NA,NA,ELFA3
elaeocarpa,Endiandra,elaeocarpa,NA,NA,ENEL
monkeysoap,Enterolobium,cyclocarpum,NA,NA,ENCY
bronze loquat,Eriobotrya,deflexa,NA,NA,ERDE16
loquat,Eriobotrya,japonica,NA,NA,ERJA3
blacktorch,Erithalis,fruticosa,NA,NA,ERFR4
machete,Erythrina,berteriana,NA,NA,ERBE3
coral erythrina,Erythrina,corallodendron,NA,NA,ERCO22
naked coral tree,Erythrina,coralloides,NA,NA,ERCO
crybabytree,Erythrina,crista-galli,NA,NA,ERCR6
cock's spur,Erythrina,eggersii,NA,NA,EREG
bucayo,Erythrina,fusca,NA,NA,ERFU2
mountain immortelle,Erythrina,poeppigiana,NA,NA,ERPO5
wili wili,Erythrina,sandwicensis,NA,NA,ERSA11
gatae palagi,Erythrina,subumbrans,NA,NA,ERSU15
tiger's claw,Erythrina,variegata,NA,NA,ERVA7
tiger's claw,Erythrina,variegata,orientalis,NA,ERVAO
acuminatissimum,Erythrospermum,acuminatissimum,NA,NA,ERAC10
swamp-redwood,Erythroxylum,areolatum,NA,NA,ERAR17
ratwood,Erythroxylum,rotundifolium,NA,NA,ERRO3
rufous false cocaine,Erythroxylum,rufum,NA,NA,ERRU4
Urban's false cocaine,Erythroxylum,urbanii,NA,NA,ERUR4
southern mahogany,Eucalyptus,botryoides,NA,NA,EUBO2
applebox,Eucalyptus,bridgesiana,NA,NA,EUBR2
river redgum,Eucalyptus,camaldulensis,NA,NA,EUCA2
argyle apple,Eucalyptus,cinerea,NA,NA,EUCI80
sugargum,Eucalyptus,cladocalyx,NA,NA,EUCL
silver-dollar eucalyptus,Eucalyptus,cordata,NA,NA,EUCO31
yate,Eucalyptus,cornuta,NA,NA,EUCO3
narrowleaf red ironbark,Eucalyptus,crebra,NA,NA,EUCR
roundleaf gum,Eucalyptus,deanei,NA,NA,EUDE
Indonesian gum,Eucalyptus,deglupta,NA,NA,EUDE2
Tasmanian bluegum,Eucalyptus,globulus,NA,NA,EUGL
tuart,Eucalyptus,gomphocephala,NA,NA,EUGO
mountain graygum,Eucalyptus,goniocalyx,NA,NA,EUGO2
grand eucalyptus,Eucalyptus,grandis,NA,NA,EUGR12
white box,Eucalyptus,hemiphloia,NA,NA,EUHE12
white ironbark,Eucalyptus,leucoxylon,NA,NA,EULE13
spotted gum,Eucalyptus,maculata,NA,NA,EUMA23
jarrah,Eucalyptus,marginata,NA,NA,EUMA4
Australian tallowwood,Eucalyptus,microcorys,NA,NA,EUMI
gray ironbark,Eucalyptus,paniculata,NA,NA,EUPA
blackbutt,Eucalyptus,pilularis,NA,NA,EUPI
redbox,Eucalyptus,polyanthemos,NA,NA,EUPO
black ironbox,Eucalyptus,raveretiana,NA,NA,EURA4
redmahogany,Eucalyptus,resinifera,NA,NA,EURE2
swampmahogany,Eucalyptus,robusta,NA,NA,EURO2
Western Australian floodedgum,Eucalyptus,rudis,NA,NA,EURU2
black peppermint,Eucalyptus,salicifolia,NA,NA,EUSA17
Sydney bluegum,Eucalyptus,saligna,NA,NA,EUSA
red ironbark,Eucalyptus,sideroxylon,NA,NA,EUSI2
eucalyptus sppNA,Eucalyptus,sppNA,NA,NA,EUCAL
forest redgum,Eucalyptus,tereticornis,NA,NA,EUTE
manna gum,Eucalyptus,viminalis,NA,NA,EUVI
white stopper,Eugenia,axillaris,NA,NA,EUAX
blackrodwood,Eugenia,biflora,NA,NA,EUBI
Sierra de Cayey stopper,Eugenia,boqueronensis,NA,NA,EUBO3
guayabota de sierra,Eugenia,borinquensis,NA,NA,EUBO4
cloves,Eugenia,caryophyllus,NA,NA,EUCA16
redberry stopper,Eugenia,confusa,NA,NA,EUCO4
lathberry,Eugenia,cordata,NA,NA,EUCO5
lathberry,Eugenia,cordata,sintenisii,NA,EUCOS
sperry guava,Eugenia,corozalensis,NA,NA,EUCO13
serrette guave,Eugenia,domingensis,NA,NA,EUDO
guasabara,Eugenia,eggersii,NA,NA,EUEG
smooth rodwood,Eugenia,glabrata,NA,NA,EUGL6
Luquillo Mountain stopper,Eugenia,haematocarpa,NA,NA,EUHA4
nioi,Eugenia,koolauensis,NA,NA,EUKO
privet stopper,Eugenia,ligustrina,NA,NA,EULI
birdcherry,Eugenia,monticola,NA,NA,EUMO
Eugenia nitida,Eugenia,nitida,NA,NA,EUNI2
orenged,Eugenia,palauensis,NA,NA,EUPA3
agatelang,Eugenia,palumbis,NA,NA,EUPA28
rockmyrtle,Eugenia,procera,NA,NA,EUPR4
Christmas cherry,Eugenia,pseudopsidium,NA,NA,EUPS
mountain stopper,Eugenia,reinwardtiana,NA,NA,EURE7
red stopper,Eugenia,rhombea,NA,NA,EURH
serrasuela,Eugenia,serrasuela,NA,NA,EUSE9
sessileleaf stopper,Eugenia,sessiliflora,NA,NA,EUSE10
stopper,Eugenia,sppNA,NA,NA,EUGEN
Stahl's stopper,Eugenia,stahlii,NA,NA,EUST3
Stewardson's stopper,Eugenia,stewardsonii,NA,NA,EUST6
rebotel,Eugenia,suzukii,NA,NA,EUSU9
atoto,Eugenia,thompsonii,NA,NA,EUTH4
Underwood's stopper,Eugenia,underwoodii,NA,NA,EUUN
Surinam cherry,Eugenia,uniflora,NA,NA,EUUN2
aridland stopper,Eugenia,xerophytica,NA,NA,EUXE
Euodia hortensis,Euodia,hortensis,NA,NA,EUHO5
kertub,Euodia,nitida,NA,NA,EUNI8
beror,Euodia,palawensis,NA,NA,EUPA29
Euodia ponapensis,Euodia,ponapensis,NA,NA,EUPO15
Euodia trichantha,Euodia,trichantha,NA,NA,EUTR13
Mexican shrubby spurge,Euphorbia,cotinifolia,NA,NA,EUCO24
Kauai spurge,Euphorbia,haeleeleana,NA,NA,EUHA2
mottled spurge,Euphorbia,lactea,NA,NA,EULA8
Indian spurgetree,Euphorbia,neriifolia,NA,NA,EUNE4
manchineel berry,Euphorbia,petiolaris,NA,NA,EUPE8
poinsettia,Euphorbia,pulcherrima,NA,NA,EUPU9
spurge,Euphorbia,sppNA,NA,NA,EUPHO
Indiantree spurge,Euphorbia,tirucalli,NA,NA,EUTI
anini,Eurya,sandwicensis,NA,NA,EUSA6
blinding tree,Excoecaria,agallocha,NA,NA,EXAG
hulumoa,Exocarpos,gaudichaudii,NA,NA,EXGA
kotop,Exorrhiza,ponapensis,NA,NA,EXPO2
Caribbean princewood,Exostema,caribaeum,NA,NA,EXCA
plateado,Exostema,ellipticum,NA,NA,EXEL
Exostema sanctae-luciae,Exostema,sanctae-luciae,NA,NA,EXSA2
"butterbough, inkwood",Exothea,paniculata,NA,NA,EXPA
pualulu,Fagraea,berteroana,NA,NA,FABE
ksid,Fagraea,ksid,NA,NA,FAKS
American beech,Fagus,grandifolia,NA,NA,FAGR
European beech,Fagus,sylvatica,NA,NA,FASY
peacocksplume,Falcataria,moluccana,NA,NA,FAMO
false coffee,Faramea,occidentalis,NA,NA,FAOC
feijoa,Feijoa,sellowiana,NA,NA,FESE2
Jamaican cherry fig,Ficus,americana,NA,NA,FIAM
Florida strangler fig,Ficus,aurea,NA,NA,FIAU
Roxburgh fig,Ficus,auriculata,NA,NA,FIAU3
Indian banyan,Ficus,benghalensis,NA,NA,FIBE2
weeping fig,Ficus,benjamina,NA,NA,FIBE
edible fig,Ficus,carica,NA,NA,FICA
"wild banyantree, shortleaf fig",Ficus,citrifolia,NA,NA,FICI
Ficus copiosa,Ficus,copiosa,NA,NA,FICO2
brown-woolly fig,Ficus,drupacea,NA,NA,FIDR3
Indian rubberplant,Ficus,elastica,NA,NA,FIEL
mati,Ficus,godeffroyi,NA,NA,FIGO
Ficus lutea,Ficus,lutea,NA,NA,FILU
fiddleleaf fig,Ficus,lyrata,NA,NA,FILY
Chinese banyan,Ficus,microcarpa,NA,NA,FIMI2
tibig,Ficus,nota,NA,NA,FINO3
aoa,Ficus,obliqua,NA,NA,FIOB3
amate,Ficus,obtusifolia,NA,NA,FIOB
aoa,Ficus,prolixa,NA,NA,FIPR2
peepul tree,Ficus,religiosa,NA,NA,FIRE3
Port Jackson fig,Ficus,rubiginosa,NA,NA,FIRU4
"lulk, banyan",Ficus,saffordii,NA,NA,FISA
mati vao,Ficus,scabra,NA,NA,FISC3
fig,Ficus,sppNA,NA,NA,FICUS
jaguey,Ficus,stahlii,NA,NA,FIST
sycamore fig,Ficus,sycomorus,NA,NA,FISY2
Chinese banyan,Ficus,thonningii,NA,NA,FITH2
mati,Ficus,tinctoria,NA,NA,FITI2
jaguey blanco,Ficus,trigonata,NA,NA,FITR
mati,Ficus,uniauriculata,NA,NA,FIUN
higo,Ficus,virens,NA,NA,FIVI3
Japanese fern tree,Filicium,decipiens,NA,NA,FIDE2
Finschia chloroxantha,Finschia,chloroxantha,NA,NA,FICH
Chinese parasoltree,Firmiana,simplex,NA,NA,FISI2
burr daisytree,Fitchia,speciosa,NA,NA,FISP3
governor's plum,Flacourtia,indica,NA,NA,FLIN
batoko plum,Flacourtia,inermis,NA,NA,FLIN3
filimoto,Flacourtia,rukam,NA,NA,FLRU2
Queensland maple,Flindersia,brayleyana,NA,NA,FLBR
Flueggea acidoton,Flueggea,acidoton,NA,NA,FLAC
poumuli,Flueggea,flexuosa,NA,NA,FLFL4
mehamehame,Flueggea,neowawraea,NA,NA,FLNE
inkbush,Forestiera,eggersiana,NA,NA,FOEG
caca ravet,Forestiera,rhamnifolia,NA,NA,FORH
Florida swampprivet,Forestiera,segregata,NA,NA,FOSE
oval kumquat,Fortunella,margarita,NA,NA,FOMA2
West Indian buckthorn,Frangula,sphaerosperma,NA,NA,FRSPL
Franklin tree,Franklinia,alatamaha,NA,NA,FRAL
white ash,Fraxinus,americana,NA,NA,FRAM2
Berlandier ash,Fraxinus,berlandieriana,NA,NA,FRBE
Carolina ash,Fraxinus,caroliniana,NA,NA,FRCA3
European ash,Fraxinus,excelsior,NA,NA,FREX80
Oregon ash,Fraxinus,latifolia,NA,NA,FRLA
black ash,Fraxinus,nigra,NA,NA,FRNI
Caucasian ash,Fraxinus,oxycarpa,NA,NA,FROX
green ash,Fraxinus,pennsylvanica,NA,NA,FRPE
pumpkin ash,Fraxinus,profunda,NA,NA,FRPR
blue ash,Fraxinus,quadrangulata,NA,NA,FRQU
Texas ash,Fraxinus,texensis,NA,NA,FRTE
shamel ash,Fraxinus,uhdei,NA,NA,FRUH
velvet ash,Fraxinus,velutina,NA,NA,FRVE2
Bolivian fuchsia,Fuchsia,boliviana,NA,NA,FUBO
shrubby fuchsia,Fuchsia,paniculata,NA,NA,FUPA2
silkrubber,Funtumia,elastica,NA,NA,FUEL
Gourka,Garcinia,dulcis,NA,NA,GADU3
lemon saptree,Garcinia,hessii,NA,NA,GAHE5
mangosteen,Garcinia,mangostana,NA,NA,GAMA10
tilol,Garcinia,matsudai,NA,NA,GAMA8
garcinia,Garcinia,myrtifolia,NA,NA,GAMY
konpuil,Garcinia,ponapensis,NA,NA,GAPO4
palo de cruz,Garcinia,portoricensis,NA,NA,GAPO2
Garcinia quadrilocularis,Garcinia,quadrilocularis,NA,NA,GAQU2
tilol,Garcinia,rumiyo,NA,NA,GARU3
Garcinia xanthochymus,Garcinia,xanthochymus,NA,NA,GAXA
forest gardenia,Gardenia,brighamii,NA,NA,GABR
Oahu gardenia,Gardenia,mannii,NA,NA,GAMA6
Remys gardenia,Gardenia,remyi,NA,NA,GARE
gardenia,Gardenia,sppNA,NA,NA,GARDE
Tahitian gardenia,Gardenia,taitensis,NA,NA,GATA
manuai vivao,Garuga,floribunda,NA,NA,GAFL8
llume,Gaussia,attenuata,NA,NA,GAAT
taipoipo,Geniostoma,rupestre,NA,NA,GERU3
jagua,Genipa,americana,NA,NA,GEAM
arbol de Navidad,Gesneria,pedunculosa,NA,NA,GEPE4
"ginkgo, maidenhair tree",Ginkgo,biloba,NA,NA,GIBI2
bastard gregre,Ginoria,rohrii,NA,NA,GIRO
Gironniera celtidifolia,Gironniera,celtidifolia,NA,NA,GICE2
waterlocust,Gleditsia,aquatica,NA,NA,GLAQ
honeylocust,Gleditsia,triacanthos,NA,NA,GLTR
quickstick,Gliricidia,sepium,NA,NA,GLSE2
masame,Glochidion,cuspidatum,NA,NA,GLCU
Glochidion kanehirae,Glochidion,kanehirae,NA,NA,GLKA
Glochidion marianum,Glochidion,marianum,NA,NA,GLMA9
Glochidion,Glochidion,sppNA,NA,NA,GLOCH
flower axistree,Glycosmis,parviflora,NA,NA,GLPA4
belau,Gmelina,elliptica,NA,NA,GMEL
blacheos,Gmelina,palawensis,NA,NA,GMPA
Gnetum gnemon,Gnetum,gnemon,NA,NA,GNGN
mata buey,Goetzea,elegans,NA,NA,GOEL
grand merisier,Gomidesia,lindeniana,NA,NA,GOLI
Goniothalamus carolinensis,Goniothalamus,carolinensis,NA,NA,GOCA2
loblolly-bay,Gordonia,lasianthus,NA,NA,GOLA
Creole cotton,Gossypium,barbadense,NA,NA,GOBA
upland cotton,Gossypium,hirsutum,NA,NA,GOHIH2
Graffenrieda ottoschulzii,Graffenrieda,ottoschulzii,NA,NA,GROT
kahiliflower,Grevillea,banksii,NA,NA,GRBA
silkoak,Grevillea,robusta,NA,NA,GRRO
lignum-vitae,Guaiacum,officinale,NA,NA,GUOF
holywood,Guaiacum,sanctum,NA,NA,GUSA
paipai,Guamia,mariannae,NA,NA,GUMA4
"beeftree, longleaf blolly",Guapira,discolor,NA,NA,GUDI
black mampoo,Guapira,fragrans,NA,NA,GUFR
corcho prieto,Guapira,obtusata,NA,NA,GUOB
alligatorwood,Guarea,glabra,NA,NA,GUGL3
American muskwood,Guarea,guidonia,NA,NA,GUGU
haya minga,Guatteria,blainii,NA,NA,GUBL
haya blanca,Guatteria,caribaea,NA,NA,GUCA2
bastardcedar,Guazuma,ulmifolia,NA,NA,GUUL
hammock velvetseed,Guettarda,elliptica,NA,NA,GUEL
frogwood,Guettarda,krugii,NA,NA,GUKR
cucubano de vieques,Guettarda,odorata,NA,NA,GUOD
cucubano,Guettarda,ovalifolia,NA,NA,GUOV
roseta,Guettarda,pungens,NA,NA,GUPU
wild guave,Guettarda,scabra,NA,NA,GUSC
puapua,Guettarda,speciosa,NA,NA,GUSP3
cucubano de monte,Guettarda,valenzuelana,NA,NA,GUVA
rhoifolia,Guioa,rhoifolia,NA,NA,GURH
"bochela uchererak, uch",Gulubia,palauensis,NA,NA,GUPA
West Indian false box,Gyminda,latifolia,NA,NA,GYLA
oysterwood,Gymnanthes,lucida,NA,NA,GYLU
Kentucky coffeetree,Gymnocladus,dioicus,NA,NA,GYDI
vilivili,Gyrocarpus,americanus,NA,NA,GYAM2
bloodwoodtree,Haematoxylum,campechianum,NA,NA,HACA2
palo de hueso,Haenianthus,salicifolius,NA,NA,HASAO
Carolina silverbell,Halesia,carolina,NA,NA,HACA3
two-wing silverbell,Halesia,diptera,NA,NA,HADI3
scarletbush,Hamelia,patens,NA,NA,HAPA3
Haplolobus floribundus,Haplolobus,floribundus,NA,NA,HAFL
South African wild plum,Harpephyllum,caffrum,NA,NA,HACA10
fa`aili,Harpullia,arborea,NA,NA,HAAR4
haujillo,Havardia,pallens,NA,NA,HAPA10
false locust,Hebestigma,cubense,NA,NA,HECU10
denticulata,Hedycarya,denticulata,NA,NA,HEDE14
cigarbush,Hedyosmum,arborescens,NA,NA,HEAR
Fosbergs starviolet,Hedyotis,fosbergii,NA,NA,HEFO5
manono,Hedyotis,hillebrandii,NA,NA,HEHI8
starviolet,Hedyotis,sppNA,NA,NA,HEDYO2
variable starviolet,Hedyotis,terminalis,NA,NA,HETE21
screwtree,Helicteres,jamaicensis,NA,NA,HEJA
white moho,Heliocarpus,popayanensis,NA,NA,HEPO4
camasey peludo,Henriettea,fascicularis,NA,NA,HEFA5
MacFadyen's camasey,Henriettea,macfadyenii,NA,NA,HEMA11
thinleaf camasey,Henriettea,membranifolia,NA,NA,HEME5
jusillo,Henriettea,squamulosum,NA,NA,HESQ
ufa,Heritiera,littoralis,NA,NA,HELI9
ufa halemtano,Heritiera,longipetiolata,NA,NA,HELO12
Hernandia labyrinthica,Hernandia,labyrinthica,NA,NA,HELA27
pipi,Hernandia,moerenhoutiana,NA,NA,HEMO13
"pua, Chinese lantern tree",Hernandia,nymphaeifolia,NA,NA,HENY
Hernandia ovigera,Hernandia,ovigera,NA,NA,HEOV4
mago,Hernandia,sonora,NA,NA,HESO
Lanai island-aster,Hesperomannia,arborescens,NA,NA,HEAR9
Maui island-aster,Hesperomannia,arbuscula,NA,NA,HEAR10
Kauai island-aster,Hesperomannia,lydgatei,NA,NA,HELY
palma brava,Heterospathe,elata,NA,NA,HEEL9
para rubber tree,Hevea,brasiliensis,NA,NA,HEBR8
hau kuahiwi,Hibiscadelphus,bombycinus,NA,NA,HIBO2
lava hau kuahiwi,Hibiscadelphus,crucibracteatus,NA,NA,HICR
Kauai hau kuahiwi,Hibiscadelphus,distans,NA,NA,HIDI
Kilauea hau kuahiwi,Hibiscadelphus,giffardianus,NA,NA,HIGI
Hualalai hau kuahiwi,Hibiscadelphus,hualalaiensis,NA,NA,HIHU
hau kuahiwi,Hibiscadelphus,x puakuahiwi,NA,NA,HIPU2
Maui hau kuahiwi,Hibiscadelphus,wilderianus,NA,NA,HIWI
Woods hau kuahiwi,Hibiscadelphus,woodii,NA,NA,HIWO
white rosemallow,Hibiscus,arnottianus,NA,NA,HIAR
Brackenridges rosemallow,Hibiscus,brackenridgei,NA,NA,HIBR
lemonyellow rosemallow,Hibiscus,calyphyllus,NA,NA,HICA6
red Kauai rosemallow,Hibiscus,clayi,NA,NA,HICL
mahoe,Hibiscus,elatus,NA,NA,HIEL
red rosemallow,Hibiscus,kokio,NA,NA,HIKO
largeleaf rosemallow,Hibiscus,macrophyllus,NA,NA,HIMA5
Dixie rosemallow,Hibiscus,mutabilis,NA,NA,HIMU3
seaside mahoe,Hibiscus,pernambucensis,NA,NA,HIPE3
shoeblackplant,Hibiscus,rosa-sinensis,NA,NA,HIRO3
sea hibiscus,Hibiscus,tiliaceus,NA,NA,HITI
white Kauai rosemallow,Hibiscus,waimeae,NA,NA,HIWA
manchineel,Hippomane,mancinella,NA,NA,HIMA2
teta de burra cinarron,Hirtella,rugosa,NA,NA,HIRU2
pigeonberry,Hirtella,triandra,NA,NA,HITR3
fanuamamala,Homalanthus,acuminatus,NA,NA,HOAC4
fanuamamala,Homalanthus,nutans,NA,NA,HONU3
white cogwood,Homalium,racemosum,NA,NA,HORA
Homalium whitmeeanum,Homalium,whitmeeanum,NA,NA,HOWH
"chemeklachel, eumail",Horsfieldia,amklaal,NA,NA,HOAM2
ersachel,Horsfieldia,novoguineensis,NA,NA,HONO2
Horsfieldia nunu,Horsfieldia,nunu,NA,NA,HONU2
chersachel,Horsfieldia,palauensis,NA,NA,HOPA10
Japanese raisintree,Hovenia,dulcis,NA,NA,HODU2
sentrypalm,Howeia,forsteriana,NA,NA,HOFO
sandbox tree,Hura,crepitans,NA,NA,HUCR
cedro macho,Hyeronima,clusioides,NA,NA,HYCL
"West Indian locust, Brazilian cherry, stinkingtoe",Hymenaea,courbaril,NA,NA,HYCO
inkwood,Hypelate,trifoliata,NA,NA,HYTR
limestone snakevine,Hyperbaena,laurifolia,NA,NA,HYLA8
Hawaii holly,Ilex,anomala,NA,NA,ILAN
English holly,Ilex,aquifolium,NA,NA,ILAQ80
dahoon,Ilex,cassine,NA,NA,ILCA
te,Ilex,cookii,NA,NA,ILCO3
maconcona,Ilex,guianensis,NA,NA,ILGU
Caribbean holly,Ilex,macfadyenii,NA,NA,ILMA
Puerto Rico holly,Ilex,nitida,NA,NA,ILNI
American holly,Ilex,opaca,NA,NA,ILOP
mate,Ilex,paraguariensis,NA,NA,ILPA3
gongolin,Ilex,sideroxyloides,NA,NA,ILSI
Sintenis' holly,Ilex,sintenisii,NA,NA,ILSI2
Urban's holly,Ilex,urbaniana,NA,NA,ILUR
yaupon,Ilex,vomitoria,NA,NA,ILVO
ice cream bean,Inga,edulis,NA,NA,INED
sacky sac bean,Inga,laurina,NA,NA,INLA
Inga nobilis,Inga,nobilis,NA,NA,INNOQ
inga,Inga,sppNA,NA,NA,INGA
river koko,Inga,vera,NA,NA,INVE
ifi,Inocarpus,fagifer,NA,NA,INFA3
ifilele,Intsia,bijuga,NA,NA,INBI
palo de hierro,Ixora,ferrea,NA,NA,IXFE
white jungleflame,Ixora,thwaitesii,NA,NA,IXTH
black poui,Jacaranda,mimosifolia,NA,NA,JAMI
braceletwood,Jacquinia,armillaris,NA,NA,JAAR2
bois bande,Jacquinia,berteroi,NA,NA,JABE
Barbados nut,Jatropha,curcas,NA,NA,JACU2
wild oilnut,Jatropha,hernandiifolia,NA,NA,JAHE
coralbush,Jatropha,multifida,NA,NA,JAMU
southern California black walnut,Juglans,californica,NA,NA,JUCA
butternut,Juglans,cinerea,NA,NA,JUCI
northern California black walnut,Juglans,hindsii,NA,NA,JUHI
West Indian walnut,Juglans,jamaicensis,NA,NA,JUJA
Arizona walnut,Juglans,major,NA,NA,JUMA
Texas walnut,Juglans,microcarpa,NA,NA,JUMI
black walnut,Juglans,nigra,NA,NA,JUNI
English walnut,Juglans,regia,NA,NA,JURE80
Ashe juniper,Juniperus,ashei,NA,NA,JUAS
Bermuda juniper,Juniperus,bermudiana,NA,NA,JUBE3
California juniper,Juniperus,californica,NA,NA,JUCA7
Chinese juniper,Juniperus,chinensis,NA,NA,JUCH4
redberry juniper,Juniperus,coahuilensis,NA,NA,JUCO11
alligator juniper,Juniperus,deppeana,NA,NA,JUDE2
Drooping juniper,Juniperus,flaccida,NA,NA,JUFL
oneseed juniper,Juniperus,monosperma,NA,NA,JUMO
western juniper,Juniperus,occidentalis,NA,NA,JUOC
Utah juniper,Juniperus,osteosperma,NA,NA,JUOS
Pinchot juniper,Juniperus,pinchotii,NA,NA,JUPI
Rocky Mountain juniper,Juniperus,scopulorum,NA,NA,JUSC2
southern redcedar,Juniperus,virginiana,silicicola,NA,JUVIS
eastern redcedar,Juniperus,virginiana,NA,NA,JUVI
ketenguit,Kayea,pacifica,NA,NA,KAPA4
Khaya anthotheca,Khaya,anthotheca,NA,NA,KHAN
